objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
46,E06000046,"""Isle of Wight""",2035,"""South East""",115589,734,0.64,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
52,E06000046,"""Isle of Wight""",2040,"""South East""",115589,727,0.63,28078,24.29,16865,14.59,19395,16.78,5799,5.02,14128,12.22,26163,22.63,5161,4.46,554.1
246,E07000228,"""Mid Sussex""",2020,"""South East""",112755,852,0.76,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2025,"""South East""",112755,861,0.76,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2030,"""South East""",112755,865,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
246,E07000228,"""Mid Sussex""",2035,"""South East""",112755,863,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
42,E07000228,"""Mid Sussex""",2040,"""South East""",112755,865,0.77,16731,14.84,15153,13.44,19560,17.35,3799,3.37,14858,13.18,37917,33.63,4737,4.2,522.9
42,E06000042,"""Milton Keynes""",2020,"""South East""",193429,1629,0.84,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2025,"""South East""",193429,"1,630",0.84,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2030,"""South East""",193429,"1,648",0.85,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
42,E06000042,"""Milton Keynes""",2035,"""South East""",193429,"1,654",0.86,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
228,E06000042,"""Milton Keynes""",2040,"""South East""",193429,"1,647",0.85,34850,18.02,30794,15.92,32222,16.66,6579,3.4,22205,11.48,54591,28.22,12188,6.3,629.3
228,E07000210,"""Mole Valley""",2020,"""South East""",69580,486,0.7,11111,15.97,8129,11.68,11198,16.09,1960,2.82,7896,11.35,26396,37.94,2890,4.15,617.9
228,E07000210,"""Mole Valley""",2025,"""South East""",69580,471,0.68,11111,15.97,8129,11.68,11198,16.09,1960,2.82,7896,11.35,26396,37.94,2890,4.15,617.9
228,E07000210,"""Mole Valley""",2030,"""South East""",69580,461,0.66,11111,15.97,8129,11.68,11198,16.09,1960,2.82,7896,11.35,26396,37.94,2890,4.15,617.9
228,E07000210,"""Mole Valley""",2035,"""South East""",69580,452,0.65,11111,15.97,8129,11.68,11198,16.09,1960,2.82,7896,11.35,26396,37.94,2890,4.15,617.9
124,E07000210,"""Mole Valley""",2040,"""South East""",69580,446,0.64,11111,15.97,8129,11.68,11198,16.09,1960,2.82,7896,11.35,26396,37.94,2890,4.15,617.9
124,E07000091,"""New Forest""",2020,"""South East""",147514,931,0.63,31178,21.14,19579,13.27,24647,16.71,8013,5.43,17739,12.03,40184,27.24,6174,4.19,633.1
124,E07000091,"""New Forest""",2025,"""South East""",147514,907,0.61,31178,21.14,19579,13.27,24647,16.71,8013,5.43,17739,12.03,40184,27.24,6174,4.19,633.1
124,E07000091,"""New Forest""",2030,"""South East""",147514,884,0.6,31178,21.14,19579,13.27,24647,16.71,8013,5.43,17739,12.03,40184,27.24,6174,4.19,633.1
124,E07000091,"""New Forest""",2035,"""South East""",147514,868,0.59,31178,21.14,19579,13.27,24647,16.71,8013,5.43,17739,12.03,40184,27.24,6174,4.19,633.1
198,E07000091,"""New Forest""",2040,"""South East""",147514,857,0.58,31178,21.14,19579,13.27,24647,16.71,8013,5.43,17739,12.03,40184,27.24,6174,4.19,633.1
229,E07000211,"""Reigate and Banstead""",2020,"""South East""",110725,871,0.79,18363,16.58,14587,13.17,18345,16.57,3237,2.92,13294,12.01,37602,33.96,5297,4.78,492
229,E07000211,"""Reigate and Banstead""",2025,"""South East""",110725,883,0.8,18363,16.58,14587,13.17,18345,16.57,3237,2.92,13294,12.01,37602,33.96,5297,4.78,492
229,E07000211,"""Reigate and Banstead""",2030,"""South East""",110725,892,0.81,18363,16.58,14587,13.17,18345,16.57,3237,2.92,13294,12.01,37602,33.96,5297,4.78,492
229,E07000211,"""Reigate and Banstead""",2035,"""South East""",110725,892,0.81,18363,16.58,14587,13.17,18345,16.57,3237,2.92,13294,12.01,37602,33.96,5297,4.78,492
153,E07000211,"""Reigate and Banstead""",2040,"""South East""",110725,894,0.81,18363,16.58,14587,13.17,18345,16.57,3237,2.92,13294,12.01,37602,33.96,5297,4.78,492
141,E07000112,"""Shepway, Folkestone and Hythe""",2020,"""South East""",88760,647,0.73,21900,24.67,13239,14.92,15510,17.47,3394,3.82,10582,11.92,19324,21.77,4811,5.42,977.3
141,E07000112,"""Shepway, Folkestone and Hythe""",2025,"""South East""",88760,661,0.74,21900,24.67,13239,14.92,15510,17.47,3394,3.82,10582,11.92,19324,21.77,4811,5.42,977.3
141,E07000112,"""Shepway, Folkestone and Hythe""",2030,"""South East""",88760,661,0.74,21900,24.67,13239,14.92,15510,17.47,3394,3.82,10582,11.92,19324,21.77,4811,5.42,977.3
141,E07000112,"""Shepway, Folkestone and Hythe""",2035,"""South East""",88760,663,0.75,21900,24.67,13239,14.92,15510,17.47,3394,3.82,10582,11.92,19324,21.77,4811,5.42,977.3
59,E07000112,"""Shepway, Folkestone and Hythe""",2040,"""South East""",88760,667,0.75,21900,24.67,13239,14.92,15510,17.47,3394,3.82,10582,11.92,19324,21.77,4811,5.42,977.3
59,E07000006,"""South Buckinhamshire""",2020,"""South East""",54201,782,1.44,8954,16.52,6395,11.8,7997,14.75,1865,3.44,6034,11.13,19977,36.86,2979,5.5,492.4
59,E07000006,"""South Buckinhamshire""",2025,"""South East""",54201,788,1.45,8954,16.52,6395,11.8,7997,14.75,1865,3.44,6034,11.13,19977,36.86,2979,5.5,492.4
59,E07000006,"""South Buckinhamshire""",2030,"""South East""",54201,789,1.46,8954,16.52,6395,11.8,7997,14.75,1865,3.44,6034,11.13,19977,36.86,2979,5.5,492.4
59,E07000006,"""South Buckinhamshire""",2035,"""South East""",54201,792,1.46,8954,16.52,6395,11.8,7997,14.75,1865,3.44,6034,11.13,19977,36.86,2979,5.5,492.4
65,E07000006,"""South Buckinhamshire""",2040,"""South East""",54201,791,1.46,8954,16.52,6395,11.8,7997,14.75,1865,3.44,6034,11.13,19977,36.86,2979,5.5,492.4
202,E07000179,"""South Oxfordshire""",2020,"""South East""",108232,815,0.75,17827,16.47,13133,12.13,16120,14.89,4116,3.8,12936,11.95,39727,36.71,4373,4.04,584.6
202,E07000179,"""South Oxfordshire""",2025,"""South East""",108232,817,0.75,17827,16.47,13133,12.13,16120,14.89,4116,3.8,12936,11.95,39727,36.71,4373,4.04,584.6
202,E07000179,"""South Oxfordshire""",2030,"""South East""",108232,819,0.76,17827,16.47,13133,12.13,16120,14.89,4116,3.8,12936,11.95,39727,36.71,4373,4.04,584.6
202,E07000179,"""South Oxfordshire""",2035,"""South East""",108232,816,0.75,17827,16.47,13133,12.13,16120,14.89,4116,3.8,12936,11.95,39727,36.71,4373,4.04,584.6
155,E07000179,"""South Oxfordshire""",2040,"""South East""",108232,813,0.75,17827,16.47,13133,12.13,16120,14.89,4116,3.8,12936,11.95,39727,36.71,4373,4.04,584.6
232,E07000214,"""Surrey Heath""",2020,"""South East""",69302,520,0.75,10387,14.99,9356,13.5,11292,16.29,2398,3.46,8478,12.23,23887,34.47,3504,5.06,537.1
232,E07000214,"""Surrey Heath""",2025,"""South East""",69302,511,0.74,10387,14.99,9356,13.5,11292,16.29,2398,3.46,8478,12.23,23887,34.47,3504,5.06,537.1
