objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageautistic
184,E07000155,"""South Northamptonshire""",2020,"""East Midlands""",108232,539,0.50%
202,E07000179,"""South Oxfordshire""",2020,"""South East""",89163,815,0.91%
155,E07000126,"""South Ribble""",2020,"""North West""",132625,634,0.48%
207,E07000189,"""South Somerset""",2020,"""South West""",90506,923,1.02%
214,E07000196,"""South Staffordshire""",2020,"""West Midlands""",122200,662,0.54%
279,E08000023,"""South Tyneside""",2020,"""North East""",140621,881,0.63%
33,E06000033,"""Southend-on-Sea""",2020,"""East of England""",110590,"1,080",0.98%
254,E07000240,"""St Albans""",2020,"""East of England""",90683,836,0.92%
222,E07000204,"""St Edmundsbury""",2020,"""East of England""",143372,529,0.37%
270,E08000013,"""St. Helens""",2020,"""North West""",81106,"1,063",1.31%
216,E07000198,"""Staffordshire Moorlands""",2020,"""West Midlands""",154503,556,0.36%
4,E06000004,"""Stockton-on-Tees""",2020,"""North East""",200642,"1,164",0.58%
21,E06000021,"""Stoke-on-Trent""",2020,"""West Midlands""",100042,"1,582",1.58%
239,E07000221,"""Stratford-on-Avon""",2020,"""West Midlands""",102401,717,0.70%
223,E07000205,"""Suffolk Coastal""",2020,"""East of England""",69302,659,0.95%
232,E07000214,"""Surrey Heath""",2020,"""South East""",90109,520,0.58%
208,E07000190,"""Taunton Deane""",2020,"""South West""",132440,420,0.32%
20,E06000020,"""Telford and Wrekin""",2020,"""West Midlands""",94414,"1,084",1.15%
126,E07000093,"""Test Valley""",2020,"""South East""",69819,717,1.03%
132,E07000102,"""Three Rivers""",2020,"""East of England""",95821,534,0.56%
144,E07000115,"""Tonbridge and Malling""",2020,"""South East""",203953,754,0.37%
323,E09000030,"""Tower Hamlets""",2020,London,91483,"2,488",2.72%
145,E07000116,"""Tunbridge Wells""",2020,"""South East""",97867,689,0.70%
203,E07000180,"""Vale of White Horse""",2020,"""South East""",203131,807,0.40%
324,E09000031,"""Waltham Forest""",2020,London,90369,"1,858",2.06%
255,E07000241,"""Welwyn Hatfield""",2020,"""East of England""",122731,791,0.64%
37,E06000037,"""West Berkshire""",2020,"""South East""",44652,918,2.06%
87,E07000047,"""West Devon""",2020,South West,83536,301,0.36%
92,E07000052,"""West Dorset""",2020,"""South West""",90712,396,0.44%
156,E07000127,"""West Lancashire""",2020,"""North West""",73753,650,0.88%
171,E07000142,"""West Lindsey""",2020,"""East Midlands""",85312,519,0.61%
204,E07000181,"""West Oxfordshire""",2020,"""South East""",29844,632,2.12%
209,E07000191,"""West Somerset""",2020,"""South West""",54306,420,0.77%
93,E07000053,"""Weymouth and Portland""",2020,"""South West""",115900,398,0.34%
