objectid,lau115cd,lau115nm,region,year,predictedprevalence,% population autistic,population education,No qualifications,% no qualifications,Level 1 qualifications,% level 1 qualification,Level 2 qualifications,% level 2 qualifications,Apprenticeship,% Apprenticeship qualifications,Level 3 qualifications,% level 3 qualifications,Level 4 qualifications and above,% level 4 qualification,Other qualifications,% other qualifications,weekly gross pay mean
174,E07000145,"""Great Yarmouth""","""East of England""",2035,545,1.12%,48684,85554,25.44%,44435,13.21%,50474,15.01%,16232,4.83%,42257,12.56%,80275,23.87%,17082,5.08%,563.6
306,E09000013,"""Hammersmith and Fulham""",London,2035,"1,368",2.01%,67947,17276,21.45%,11126,13.82%,12662,15.72%,2723,3.38%,9511,11.81%,23690,29.42%,3546,4.40%,569
19,E06000019,"""Herefordshire, County of""","""West Midlands""",2035,"1,094",1.37%,79748,111532,28.72%,48659,12.53%,55019,14.17%,9866,2.54%,59067,15.21%,87126,22.44%,17046,4.39%,478.5
77,E07000037,"""High Peak""","""East Midlands""",2035,533,0.35%,152863,25944,30.36%,13414,15.70%,14087,16.49%,3143,3.68%,10376,12.14%,13978,16.36%,4506,5.27%,462.5
161,E07000132,"""Hinckley and Bosworth""","""East Midlands""",2035,709,0.47%,151962,8808,21.36%,5793,14.05%,6794,16.48%,1994,4.84%,5225,12.67%,10785,26.15%,1838,4.46%,476.7
46,E06000046,"""Isle of Wight""","""South East""",2035,734,0.85%,86475,38113,22.54%,25243,14.93%,26773,15.84%,6037,3.57%,20905,12.37%,40021,23.67%,11964,7.08%,563.6
52,E06000053,"""Isles of Scilly""","""South West""",2035,5,0.00%,115589,63991,25.59%,30619,12.24%,32333,12.93%,5715,2.29%,46411,18.56%,54875,21.94%,16160,6.46%,481.7
313,E09000020,"""Kensington and Chelsea""",London,2035,"1,022",55.04%,1857,14835,16.38%,9411,10.39%,13032,14.39%,3061,3.38%,11861,13.10%,35307,38.99%,3044,3.36%,658.1
175,E07000146,"""King's Lynn and West Norfolk""","""East of England""",2035,795,0.59%,134267,5453,17.77%,3729,12.15%,5373,17.51%,1114,3.63%,3834,12.50%,10096,32.90%,1084,3.53%,492.8
10,E06000010,"""Kingston upon Hull, City of""","""Yorkshire and The Humber""",2035,"1,642",1.34%,122639,15534,25.74%,9661,16.01%,9932,16.46%,2489,4.12%,6544,10.84%,12307,20.39%,3881,6.43%,537.1
314,E09000021,"""Kingston upon Thames""",London,2035,"1,180",0.57%,208040,21885,29.92%,13177,18.02%,12997,17.77%,3393,4.64%,7780,10.64%,10693,14.62%,3217,4.40%,598.2
249,E07000235,"""Malvern Hills""","""West Midlands""",2035,426,0.33%,129790,39644,19.38%,30583,14.95%,34714,16.97%,9623,4.70%,25869,12.64%,55793,27.27%,8376,4.09%,619.6
82,E07000042,"""Mid Devon""","""South West""",2035,483,0.76%,63200,14127,20.93%,8844,13.11%,10556,15.64%,2928,4.34%,7700,11.41%,19583,29.02%,3743,5.55%,616.7
221,E07000203,"""Mid Suffolk""","""East of England""",2035,588,0.75%,78907,18959,17.21%,14893,13.52%,18440,16.74%,3481,3.16%,13145,11.93%,36867,33.47%,4354,3.95%,752.8
246,E07000228,"""Mid Sussex""","""South East""",2035,863,0.77%,112755,24360,23.95%,15839,15.57%,16544,16.27%,3364,3.31%,11261,11.07%,25769,25.34%,4571,4.49%,667.3
42,E06000042,"""Milton Keynes""","""South East""",2035,"1,654",0.86%,193429,21900,24.67%,13239,14.92%,15510,17.47%,3394,3.82%,10582,11.92%,19324,21.77%,4811,5.42%,537.1
228,E07000210,"""Mole Valley""","""South East""",2035,452,0.65%,69580,16664,24.52%,9750,14.35%,11416,16.80%,3045,4.48%,8128,11.96%,16285,23.97%,2659,3.91%,451.8
124,E07000091,"""New Forest""","""South East""",2035,868,0.59%,147514,35909,29.28%,17770,14.49%,19850,16.19%,4680,3.82%,13464,10.98%,23455,19.13%,7511,6.12%,536.9
198,E07000175,"""Newark and Sherwood""","""East Midlands""",2035,721,0.77%,93957,16731,14.84%,15153,13.44%,19560,17.35%,3799,3.37%,14858,13.18%,37917,33.63%,4737,4.20%,522.9
277,E08000021,"""Newcastle upon Tyne""","""North East""",2035,"2,073",0.89%,232203,19289,21.75%,12232,13.79%,15306,17.26%,3885,4.38%,11685,13.17%,22559,25.43%,3744,4.22%,679.5
213,E07000195,"""Newcastle-under-Lyme""","""West Midlands""",2035,821,0.80%,102813,32539,19.61%,22752,13.71%,28542,17.20%,7247,4.37%,21012,12.66%,47041,28.35%,6781,4.09%,440.4
83,E07000043,"""North Devon""","""South West""",2035,544,0.70%,77378,39618,18.61%,31661,14.88%,35490,16.67%,11435,5.37%,29111,13.68%,56805,26.69%,8717,4.10%,691.4
90,E07000050,"""North Dorset""","""South West""",2035,377,0.67%,56230,17827,16.47%,13133,12.13%,16120,14.89%,4116,3.80%,12936,11.95%,39727,36.71%,4373,4.04%,539.7
78,E07000038,"""North East Derbyshire""","""East Midlands""",2035,564,0.68%,82699,20277,22.36%,13260,14.62%,15616,17.22%,3565,3.93%,10868,11.98%,22278,24.57%,4819,5.31%,601.9
12,E06000012,"""North East Lincolnshire""","""Yorkshire and The Humber""",2035,848,0.66%,129377,39950,27.86%,20522,14.31%,23930,16.69%,6251,4.36%,17408,12.14%,29924,20.87%,5387,3.76%,920.5
131,E07000099,"""North Hertfordshire""","""East of England""",2035,785,0.77%,102388,21560,26.58%,10406,12.83%,13005,16.03%,3369,4.15%,9943,12.26%,19255,23.74%,3568,4.40%,537.1
168,E07000139,"""North Kesteven""","""East Midlands""",2035,669,0.75%,88700,18510,20.54%,11674,12.96%,16101,17.87%,3295,3.66%,11068,12.28%,25348,28.13%,4113,4.56%,537.1
13,E06000013,"""North Lincolnshire""","""Yorkshire and The Humber""",2035,960,0.71%,136105,40719,19.96%,18928,9.28%,17734,8.70%,1821,0.89%,20643,10.12%,83675,41.03%,20433,10.02%,688.7
176,E07000147,"""North Norfolk""","""East of England""",2035,528,0.61%,86830,9077,20.33%,5767,12.92%,7519,16.84%,1740,3.90%,5306,11.88%,13410,30.03%,1833,4.11%,618.9
24,E06000024,"""North Somerset""","""South West""",2035,"1,259",0.76%,165914,60890,32.33%,26913,14.29%,30550,16.22%,7716,4.10%,21342,11.33%,32724,17.38%,8200,4.35%,603.5
278,E08000022,"""North Tyneside""","""North East""",2035,"1,233",0.75%,165088,25645,20.37%,17313,13.75%,19129,15.20%,4939,3.92%,14882,11.82%,35417,28.14%,8546,6.79%,562.5
