objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
15,E06000015,Derby,2035,"""East Midlands""",198076,"1,564",0.79,47731,24.1,26294,13.27,28681,14.48,9793,4.94,25838,13.04,47955,24.21,11784,5.95,840.9
76,E07000036,Erewash,2035,"""East Midlands""",91948,674,0.73,23808,25.89,14091,15.32,15197,16.53,4851,5.28,11350,12.34,19015,20.68,3636,3.95,597.6
196,E07000173,Gedling,2035,"""East Midlands""",93186,714,0.77,21980,23.59,12775,13.71,14737,15.81,4240,4.55,11999,12.88,23601,25.33,3854,4.14,623.4
160,E07000131,Harborough,2035,"""East Midlands""",69034,570,0.83,12461,18.05,9158,13.27,11275,16.33,3165,4.58,8340,12.08,21982,31.84,2653,3.84,578.2
182,E07000153,Kettering,2035,"""East Midlands""",74809,652,0.87,17079,22.83,11565,15.46,12720,17,3244,4.34,8814,11.78,17406,23.27,3981,5.32,490.5
16,E06000016,Leicester,2035,"""East Midlands""",260560,"2,523",0.97,74409,28.56,33751,12.95,32781,12.58,5309,2.04,33888,13.01,55223,21.19,25199,9.67,606.9
167,E07000138,Lincoln,2035,"""East Midlands""",78190,694,0.89,17134,21.91,10349,13.24,12587,16.1,2899,3.71,14395,18.41,16644,21.29,4182,5.35,473.1
197,E07000174,Mansfield,2035,"""East Midlands""",85448,671,0.79,25944,30.36,13414,15.7,14087,16.49,3143,3.68,10376,12.14,13978,16.36,4506,5.27,476
162,E07000133,Melton,2035,"""East Midlands""",41237,264,0.64,8808,21.36,5793,14.05,6794,16.48,1994,4.84,5225,12.67,10785,26.15,1838,4.46,582.6
183,E07000154,Northampton,2035,"""East Midlands""",169056,"1,402",0.83,38113,22.54,25243,14.93,26773,15.84,6037,3.57,20905,12.37,40021,23.67,11964,7.08,535.4
