objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
289,E08000033,Calderdale,2020,"""Yorkshire and the Humber""",163645,1236,0.76,38943,23.8,22314,13.64,26507,16.2,7989,4.88,20079,12.27,40881,24.98,6932,4.24,535.3
289,E08000033,Calderdale,2025,"""Yorkshire and the Humber""",163645,"1,223",0.75,38943,23.8,22314,13.64,26507,16.2,7989,4.88,20079,12.27,40881,24.98,6932,4.24,535.3
289,E08000033,Calderdale,2030,"""Yorkshire and the Humber""",163645,"1,211",0.74,38943,23.8,22314,13.64,26507,16.2,7989,4.88,20079,12.27,40881,24.98,6932,4.24,535.3
289,E08000033,Calderdale,2035,"""Yorkshire and the Humber""",163645,"1,197",0.73,38943,23.8,22314,13.64,26507,16.2,7989,4.88,20079,12.27,40881,24.98,6932,4.24,617.9
61,E08000033,Calderdale,2040,"""Yorkshire and the Humber""",163645,"1,189",0.73,38943,23.8,22314,13.64,26507,16.2,7989,4.88,20079,12.27,40881,24.98,6932,4.24,535.3
274,E08000017,Doncaster,2020,"""Yorkshire and the Humber""",244909,1877,0.77,74119,30.26,37763,15.42,41607,16.99,10958,4.47,26126,10.67,41714,17.03,12622,5.15,565.1
274,E08000017,Doncaster,2025,"""Yorkshire and the Humber""",244909,"1,885",0.77,74119,30.26,37763,15.42,41607,16.99,10958,4.47,26126,10.67,41714,17.03,12622,5.15,565.1
274,E08000017,Doncaster,2030,"""Yorkshire and the Humber""",244909,"1,896",0.77,74119,30.26,37763,15.42,41607,16.99,10958,4.47,26126,10.67,41714,17.03,12622,5.15,565.1
274,E08000017,Doncaster,2035,"""Yorkshire and the Humber""",244909,"1,912",0.78,74119,30.26,37763,15.42,41607,16.99,10958,4.47,26126,10.67,41714,17.03,12622,5.15,625.8
137,E08000017,Doncaster,2040,"""Yorkshire and the Humber""",244909,"1,929",0.79,74119,30.26,37763,15.42,41607,16.99,10958,4.47,26126,10.67,41714,17.03,12622,5.15,565.1
290,E08000034,Kirklees,2020,"""Yorkshire and the Humber""",336309,2625,0.78,85554,25.44,44435,13.21,50474,15.01,16232,4.83,42257,12.56,80275,23.87,17082,5.08,505.6
290,E08000034,Kirklees,2025,"""Yorkshire and the Humber""",336309,"2,624",0.78,85554,25.44,44435,13.21,50474,15.01,16232,4.83,42257,12.56,80275,23.87,17082,5.08,505.6
290,E08000034,Kirklees,2030,"""Yorkshire and the Humber""",336309,"2,622",0.78,85554,25.44,44435,13.21,50474,15.01,16232,4.83,42257,12.56,80275,23.87,17082,5.08,505.6
290,E08000034,Kirklees,2035,"""Yorkshire and the Humber""",336309,"2,610",0.78,85554,25.44,44435,13.21,50474,15.01,16232,4.83,42257,12.56,80275,23.87,17082,5.08,508.7
290,E08000034,Kirklees,2040,"""Yorkshire and the Humber""",336309,"2,595",0.77,85554,25.44,44435,13.21,50474,15.01,16232,4.83,42257,12.56,80275,23.87,17082,5.08,505.6
291,E08000035,Leeds,2020,"""Yorkshire and the Humber""",613992,4948,0.81,142481,23.21,77294,12.59,86614,14.11,22893,3.73,90497,14.74,165429,26.94,28784,4.69,557.3
291,E08000035,Leeds,2025,"""Yorkshire and the Humber""",613992,"4,960",0.81,142481,23.21,77294,12.59,86614,14.11,22893,3.73,90497,14.74,165429,26.94,28784,4.69,557.3
291,E08000035,Leeds,2030,"""Yorkshire and the Humber""",613992,"5,008",0.82,142481,23.21,77294,12.59,86614,14.11,22893,3.73,90497,14.74,165429,26.94,28784,4.69,557.3
291,E08000035,Leeds,2035,"""Yorkshire and the Humber""",613992,"5,052",0.82,142481,23.21,77294,12.59,86614,14.11,22893,3.73,90497,14.74,165429,26.94,28784,4.69,539.9
291,E08000035,Leeds,2040,"""Yorkshire and the Humber""",613992,"5,055",0.82,142481,23.21,77294,12.59,86614,14.11,22893,3.73,90497,14.74,165429,26.94,28784,4.69,557.3
275,E08000018,Rotherham,2020,"""Yorkshire and the Humber""",208018,1551,0.75,62076,29.84,32284,15.52,35048,16.85,9065,4.36,24001,11.54,36165,17.39,9379,4.51,484.2
275,E08000018,Rotherham,2025,"""Yorkshire and the Humber""",208018,"1,551",0.75,62076,29.84,32284,15.52,35048,16.85,9065,4.36,24001,11.54,36165,17.39,9379,4.51,484.2
275,E08000018,Rotherham,2030,"""Yorkshire and the Humber""",208018,"1,554",0.75,62076,29.84,32284,15.52,35048,16.85,9065,4.36,24001,11.54,36165,17.39,9379,4.51,484.2
275,E08000018,Rotherham,2035,"""Yorkshire and the Humber""",208018,"1,561",0.75,62076,29.84,32284,15.52,35048,16.85,9065,4.36,24001,11.54,36165,17.39,9379,4.51,461.3
275,E08000018,Rotherham,2040,"""Yorkshire and the Humber""",208018,"1,579",0.76,62076,29.84,32284,15.52,35048,16.85,9065,4.36,24001,11.54,36165,17.39,9379,4.51,484.2
276,E08000019,Sheffield,2020,"""Yorkshire and the Humber""",452014,3780,0.84,109841,24.3,55566,12.29,62097,13.74,16192,3.58,71594,15.84,116007,25.66,20717,4.58,503.1
276,E08000019,Sheffield,2025,"""Yorkshire and the Humber""",452014,"3,853",0.85,109841,24.3,55566,12.29,62097,13.74,16192,3.58,71594,15.84,116007,25.66,20717,4.58,503.1
276,E08000019,Sheffield,2030,"""Yorkshire and the Humber""",452014,"3,939",0.87,109841,24.3,55566,12.29,62097,13.74,16192,3.58,71594,15.84,116007,25.66,20717,4.58,503.1
276,E08000019,Sheffield,2035,"""Yorkshire and the Humber""",452014,"3,982",0.88,109841,24.3,55566,12.29,62097,13.74,16192,3.58,71594,15.84,116007,25.66,20717,4.58,505.4
276,E08000019,Sheffield,2040,"""Yorkshire and the Humber""",452014,"4,022",0.89,109841,24.3,55566,12.29,62097,13.74,16192,3.58,71594,15.84,116007,25.66,20717,4.58,503.1
292,E08000036,Wakefield,2020,"""Yorkshire and the Humber""",265797,2078,0.78,82621,31.08,38778,14.59,42790,16.1,11636,4.38,28205,10.61,48772,18.35,12995,4.89,486.8
292,E08000036,Wakefield,2025,"""Yorkshire and the Humber""",265797,"2,136",0.8,82621,31.08,38778,14.59,42790,16.1,11636,4.38,28205,10.61,48772,18.35,12995,4.89,486.8
292,E08000036,Wakefield,2030,"""Yorkshire and the Humber""",265797,"2,178",0.82,82621,31.08,38778,14.59,42790,16.1,11636,4.38,28205,10.61,48772,18.35,12995,4.89,486.8
292,E08000036,Wakefield,2035,"""Yorkshire and the Humber""",265797,"2,222",0.84,82621,31.08,38778,14.59,42790,16.1,11636,4.38,28205,10.61,48772,18.35,12995,4.89,713.9
292,E08000036,Wakefield,2040,"""Yorkshire and the Humber""",265797,"2,276",0.86,82621,31.08,38778,14.59,42790,16.1,11636,4.38,28205,10.61,48772,18.35,12995,4.89,486.8
