objectid,lau115cd,lau115nm,year,region,population,""" % no qualification""","""% level 1 qualification""",""" % level 2 qualification""",""" % apprenticeship""",""" % level 3 qualification",""" % level 4 and above""",""" % other qualifications"
261,E08000004,Oldham,2020,"""North West""",174438,29.59,14.63,15.81,4.2,11.71,18.61,5.45
201,E07000178,Oxford,2020,"""South East""",126725,13.64,8.3,8.95,1.84,17.82,42.59,6.85
151,E07000122,Pendle,2020,"""North West""",71128,28.16,13.32,15.12,4.79,12.53,20.23,5.84
31,E06000031,Peterborough,2020,"""East of England""",144495,25.02,15.42,16.15,3.49,10.79,20.24,8.89
26,E06000026,Plymouth,2020,"""South West""",211502,22.26,13.49,16.76,5.2,16.55,21.46,4.28
29,E06000029,Poole,2020,"""South West""",121986,21.4,14.41,16.64,4.85,12.48,25.53,4.69
44,E06000044,Portsmouth,2020,"""South East""",167256,21.17,13.14,14.99,3.91,17.98,23.69,5.11
152,E07000123,Preston,2020,"""North West""",113422,23.45,12.62,14.47,3.86,15.14,24.62,5.84
91,E07000051,Purbeck,2020,"""South West""",37678,21.56,14.33,16.79,5.02,12.1,25.71,4.49
38,E06000038,Reading,2020,"""South East""",125582,17.39,12.21,12.27,2.52,13.44,34.79,7.39
319,E09000026,Redbridge,2020,London,216112,18.45,12.23,13.13,1.69,10.28,33.92,10.3
250,E07000236,Redditch,2020,"""West Midlands""",67656,25.12,15.79,17.01,3.75,11.99,20.7,5.64
189,E07000166,Richmondshire,2020,"""Yorkshire and The Humber""",42698,18.56,15.03,17.99,3.72,12.34,26.96,5.39
262,E08000005,Rochdale,2020,"""North West""",166916,28.7,14.69,16.39,3.67,11.74,19.39,5.42
108,E07000075,Rochford,2020,"""East of England""",68271,23.63,17.77,18.35,4.33,11.95,20.01,3.96
154,E07000125,Rossendale,2020,"""North West""",54811,23.96,13.69,16.54,4.02,13.04,25.13,3.62
97,E07000064,Rother,2020,"""South East""",76359,24.7,13.81,16.5,3.78,11.2,25.46,4.57
275,E08000018,Rotherham,2020,"""Yorkshire and the Humber""",208018,29.84,15.52,16.85,4.36,11.54,17.39,4.51
238,E07000220,Rugby,2020,"""West Midlands""",80689,19.55,13.27,15.98,5.25,11.72,28.18,6.05
230,E07000212,Runnymede,2020,"""South East""",66653,18.27,12.74,14.43,3.37,15.15,29.92,6.13
199,E07000176,Rushcliffe,2020,"""East Midlands""",90551,16.38,10.39,14.39,3.38,13.1,38.99,3.36
125,E07000092,Rushmoor,2020,"""South East""",74854,18.63,16.46,17.15,3.61,12.51,24.71,6.94
17,E06000017,Rutland,2020,"""East Midlands""",30683,17.77,12.15,17.51,3.63,12.5,32.9,3.53
190,E07000167,Ryedale,2020,"""Yorkshire and The Humber""",43200,24,12.56,16.28,4.09,11.34,27.3,4.42
263,E08000006,Salford,2020,"""North West""",188780,27.11,13.87,15.45,3.36,12.64,22.3,5.27
284,E08000028,Sandwell,2020,"""West Midlands""",241829,35.17,14.36,14.7,2.67,10.44,15.36,7.31
191,E07000168,Scarborough,2020,"""Yorkshire and the Humber""",91402,25.99,12.89,16.25,5.32,12.06,22.69,4.79
206,E07000188,Sedgemoor,2020,"""South West""",93922,25.06,14.71,17.09,4.67,11.82,22.12,4.53
271,E08000014,Sefton,2020,"""North West""",226435,25.14,13.99,16.57,3.89,12.46,24.06,3.89
192,E07000169,Selby,2020,"""Yorkshire and The Humber""",68135,21.18,13.99,16.62,4.99,12.81,26.1,4.3
140,E07000111,Sevenoaks,2020,"""South East""",92481,19.2,13.74,16.42,3.41,11.1,31.98,4.14
276,E08000019,Sheffield,2020,"""Yorkshire and the Humber""",452014,24.3,12.29,13.74,3.58,15.84,25.66,4.58
50,E06000051,Shropshire,2020,"""West Midlands""",252979,22.51,13.11,16.84,3.67,12.15,27.5,4.22
39,E06000039,Slough,2020,"""South East""",106645,20.1,14.7,13.37,2.22,10.12,25.84,13.65
285,E08000029,Solihull,2020,"""West Midlands""",167493,22.71,13.61,16.08,3.41,11.7,28.53,3.96
45,E06000045,Southampton,2020,"""South East""",195534,20.96,12.93,13.92,3.66,17.33,24.62,6.58
321,E09000028,Southwark,2020,London,234901,16.34,9.4,10.24,1.12,10.55,43.07,9.29
231,E07000213,Spelthorne,2020,"""South East""",78089,20.42,16.07,16.09,3.91,11.37,25.95,6.19
215,E07000197,Stafford,2020,"""West Midlands""",108626,20.39,12.71,15.83,3.45,12.94,30.28,4.41
257,E07000243,Stevenage,2020,"""East of England""",66866,21.52,18.04,17.86,3.77,11.8,22.08,4.93
264,E08000007,Stockport,2020,"""North West""",229822,20.64,13.47,16.01,4.04,12.14,29.81,3.9
115,E07000082,Stroud,2020,"""South West""",92251,18.2,12.9,15.58,4.66,12.2,32.87,3.59
280,E08000024,Sunderland,2020,"""North East""",227314,29.05,15.51,16.25,5.02,12,18.18,3.98
322,E09000029,Sutton,2020,London,152158,18.62,14.19,16.05,2.87,11.84,30.08,6.34
142,E07000113,Swale,2020,"""South East""",108539,27.37,16.25,16.99,4.4,11.24,18.92,4.83
30,E06000030,Swindon,2020,"""South West""",167774,20.52,17.44,17.34,4.53,11.64,22.71,5.83
265,E08000008,Tameside,2020,"""North West""",176616,28.05,16.05,17.33,4.47,12.1,17.55,4.46
217,E07000199,Tamworth,2020,"""West Midlands""",61467,26.79,17.43,17.82,3.71,12.5,17.42,4.33
233,E07000215,Tandridge,2020,"""South East""",66922,17.13,13.35,17.48,2.93,12.26,32.97,3.87
85,E07000045,Teignbridge,2020,"""South West""",103738,21.55,13.5,16.57,4.47,11.76,27.97,4.19
109,E07000076,Tendring,2020,"""East of England""",115495,34.3,15.15,16.24,4.1,9.53,15.88,4.8
116,E07000083,Tewkesbury,2020,"""South West""",67358,18.81,13.73,16.67,4.35,12.19,30.18,4.06
143,E07000114,Thanet,2020,"""South East""",108556,28.36,14.83,16.43,3.87,11.28,19.61,5.63
34,E06000034,Thurrock,2020,"""East of England""",123407,26.45,18.15,17.53,3.42,10.93,17.44,6.08
27,E06000027,Torbay,2020,"""South West""",109290,25.82,15,17.28,4.68,11.81,20.65,4.77
86,E07000046,Torridge,2020,"""South West""",53321,25.41,14.25,17.48,4.92,12.07,21.67,4.2
266,E08000009,Trafford,2020,"""North West""",180754,18.57,12.44,15.82,3.41,11.66,33.78,4.32
110,E07000077,Uttlesford,2020,"""East of England""",63399,17.72,13.87,17.22,3.3,11.98,31.94,3.97
292,E08000036,Wakefield,2020,"""Yorkshire and the Humber""",265797,31.08,14.59,16.1,4.38,10.61,18.35,4.89
286,E08000030,Walsall,2020,"""West Midlands""",213123,33.71,14.6,15.3,2.99,10.8,16.89,5.71
325,E09000032,Wandsworth,2020,London,255989,11.57,6.6,8.38,0.98,9.96,53.57,8.94
7,E06000007,Warrington,2020,"""North West""",163477,20.68,14.59,16.52,4.1,12.6,27.45,4.07
240,E07000222,Warwick,2020,"""West Midlands""",114051,16.39,10.12,12.74,3.31,14.37,38.44,4.64
133,E07000103,Watford,2020,"""East of England""",71693,17.45,13.25,15,2.93,11.66,32.2,7.5
224,E07000206,Waveney,2020,"""East of England""",95369,29.83,14.21,16.24,5.45,11.67,17.88,4.72
234,E07000216,Waverley,2020,"""South East""",97478,15.17,10.32,15.12,2.92,12.25,40.14,4.09
98,E07000065,Wealden,2020,"""South East""",122443,19.88,13.83,17.33,3.69,12.25,28.88,4.14
185,E07000156,Wellingborough,2020,"""East Midlands""",60348,25.74,16.01,16.46,4.12,10.84,20.39,6.43
326,E09000033,Westminster,2020,London,186812,12.82,6.59,7.76,0.76,9.16,50.29,12.62
267,E08000010,Wigan,2020,"""North West""",257825,27.34,15.28,17.13,4.71,12.17,19.54,3.83
53,E06000054,Wiltshire,2020,"""South West""",380013,18.63,14.01,17.21,3.85,12.67,29.49,4.15
127,E07000094,Winchester,2020,"""South East""",95110,14.54,9.63,14.63,3.1,13.94,40.66,3.51
272,E08000015,Wirral,2020,"""North West""",260498,23.42,13.65,17.27,4.24,12.55,25.26,3.6
235,E07000217,Woking,2020,"""South East""",79185,15.21,11.96,14.3,2.61,11.29,38.36,6.28
41,E06000041,Wokingham,2020,"""South East""",123010,13.19,11.76,15.09,3.38,12.45,39.98,4.16
287,E08000031,Wolverhampton,2020,"""West Midlands""",200047,31.23,14.09,14.89,2.75,10.6,19.51,6.94
251,E07000237,Worcester,2020,"""West Midlands""",80291,21.32,12.75,14.86,3.88,14.5,27.66,5.03
247,E07000229,Worthing,2020,"""South East""",85971,21.31,14.33,17.41,3.66,12.53,25.96,4.81
252,E07000238,Wychavon,2020,"""West Midlands""",97039,22.11,13.08,15.63,4.03,11.58,28.72,4.84
60,E07000007,Wycombe,2020,"""South East""",136787,17.38,12.52,15.16,3.63,12.36,33.56,5.4
157,E07000128,Wyre,2020,"""North West""",90467,25.88,13.44,16.64,4.83,12.05,22.98,4.19
14,E06000014,York,2020,"""Yorkshire and The Humber""",166275,17.96,10.61,13.87,4.47,16.59,32.4,4.1
