objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
156,E07000127,"""West Lancashire""",2035,"""North West""",90712,619,0.68,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
171,E07000127,"""West Lancashire""",2040,"""North West""",90712,614,0.68,21296,23.48,12150,13.39,14318,15.78,3600,3.97,12652,13.95,23000,25.35,3696,4.07,491.2
66,E07000026,Allerdale,2020,"""North West""",80155,551,0.69,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2025,"""North West""",80155,537,0.67,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2030,"""North West""",80155,521,0.65,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
66,E07000026,Allerdale,2035,"""North West""",80155,507,0.63,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
242,E07000026,Allerdale,2040,"""North West""",80155,503,0.63,21636,26.99,10960,13.67,12969,16.18,4020,5.02,9236,11.52,18254,22.77,3080,3.84,537.8
9,E06000009,Blackpool,2020,"""North West""",116699,821,0.7,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
9,E06000009,Blackpool,2025,"""North West""",116699,798,0.68,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
9,E06000009,Blackpool,2030,"""North West""",116699,783,0.67,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
9,E06000009,Blackpool,2035,"""North West""",116699,776,0.66,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
73,E06000009,Blackpool,2040,"""North West""",116699,774,0.66,36559,31.33,18129,15.53,19993,17.13,4886,4.19,13546,11.61,18098,15.51,5488,4.7,608.2
258,E08000001,Bolton,2020,"""North West""",219710,1682,0.77,57888,26.35,31152,14.18,34731,15.81,9396,4.28,26408,12.02,48688,22.16,11447,5.21,496.1
258,E08000001,Bolton,2025,"""North West""",219710,"1,685",0.77,57888,26.35,31152,14.18,34731,15.81,9396,4.28,26408,12.02,48688,22.16,11447,5.21,496.1
258,E08000001,Bolton,2030,"""North West""",219710,"1,686",0.77,57888,26.35,31152,14.18,34731,15.81,9396,4.28,26408,12.02,48688,22.16,11447,5.21,496.1
258,E08000001,Bolton,2035,"""North West""",219710,"1,691",0.77,57888,26.35,31152,14.18,34731,15.81,9396,4.28,26408,12.02,48688,22.16,11447,5.21,496.1
165,E08000001,Bolton,2040,"""North West""",219710,"1,696",0.77,57888,26.35,31152,14.18,34731,15.81,9396,4.28,26408,12.02,48688,22.16,11447,5.21,496.1
146,E07000117,Burnley,2020,"""North West""",69915,511,0.73,20512,29.34,10075,14.41,11046,15.8,3251,4.65,8606,12.31,13092,18.73,3333,4.77,646.5
146,E07000117,Burnley,2025,"""North West""",69915,504,0.72,20512,29.34,10075,14.41,11046,15.8,3251,4.65,8606,12.31,13092,18.73,3333,4.77,646.5
146,E07000117,Burnley,2030,"""North West""",69915,503,0.72,20512,29.34,10075,14.41,11046,15.8,3251,4.65,8606,12.31,13092,18.73,3333,4.77,646.5
146,E07000117,Burnley,2035,"""North West""",69915,499,0.71,20512,29.34,10075,14.41,11046,15.8,3251,4.65,8606,12.31,13092,18.73,3333,4.77,646.5
259,E07000117,Burnley,2040,"""North West""",69915,503,0.72,20512,29.34,10075,14.41,11046,15.8,3251,4.65,8606,12.31,13092,18.73,3333,4.77,646.5
259,E08000002,Bury,2020,"""North West""",147935,1116,0.75,33377,22.56,20823,14.08,25408,17.18,5235,3.54,18217,12.31,37989,25.68,6886,4.65,483.7
259,E08000002,Bury,2025,"""North West""",147935,"1,128",0.76,33377,22.56,20823,14.08,25408,17.18,5235,3.54,18217,12.31,37989,25.68,6886,4.65,483.7
259,E08000002,Bury,2030,"""North West""",147935,"1,135",0.77,33377,22.56,20823,14.08,25408,17.18,5235,3.54,18217,12.31,37989,25.68,6886,4.65,483.7
259,E08000002,Bury,2035,"""North West""",147935,"1,149",0.78,33377,22.56,20823,14.08,25408,17.18,5235,3.54,18217,12.31,37989,25.68,6886,4.65,483.7
289,E08000002,Bury,2040,"""North West""",147935,"1,161",0.78,33377,22.56,20823,14.08,25408,17.18,5235,3.54,18217,12.31,37989,25.68,6886,4.65,483.7
68,E07000028,Carlisle,2020,"""North West""",89042,621,0.7,22164,24.89,13199,14.82,14560,16.35,4103,4.61,11177,12.55,19766,22.2,4073,4.57,555.9
68,E07000028,Carlisle,2025,"""North West""",89042,603,0.68,22164,24.89,13199,14.82,14560,16.35,4103,4.61,11177,12.55,19766,22.2,4073,4.57,555.9
68,E07000028,Carlisle,2030,"""North West""",89042,585,0.66,22164,24.89,13199,14.82,14560,16.35,4103,4.61,11177,12.55,19766,22.2,4073,4.57,555.9
68,E07000028,Carlisle,2035,"""North West""",89042,571,0.64,22164,24.89,13199,14.82,14560,16.35,4103,4.61,11177,12.55,19766,22.2,4073,4.57,555.9
159,E07000028,Carlisle,2040,"""North West""",89042,562,0.63,22164,24.89,13199,14.82,14560,16.35,4103,4.61,11177,12.55,19766,22.2,4073,4.57,555.9
147,E07000118,Chorley,2020,"""North West""",87532,713,0.81,18594,21.24,11760,13.44,14210,16.23,4225,4.83,11052,12.63,24361,27.83,3330,3.8,683.3
147,E07000118,Chorley,2025,"""North West""",87532,737,0.84,18594,21.24,11760,13.44,14210,16.23,4225,4.83,11052,12.63,24361,27.83,3330,3.8,683.3
147,E07000118,Chorley,2030,"""North West""",87532,746,0.85,18594,21.24,11760,13.44,14210,16.23,4225,4.83,11052,12.63,24361,27.83,3330,3.8,683.3
147,E07000118,Chorley,2035,"""North West""",87532,755,0.86,18594,21.24,11760,13.44,14210,16.23,4225,4.83,11052,12.63,24361,27.83,3330,3.8,683.3
88,E07000118,Chorley,2040,"""North West""",87532,761,0.87,18594,21.24,11760,13.44,14210,16.23,4225,4.83,11052,12.63,24361,27.83,3330,3.8,683.3
69,E07000029,Copeland,2020,"""North West""",58613,396,0.68,15800,26.96,8335,14.22,9178,15.66,3439,5.87,7289,12.44,12307,21,2265,3.86,564.3
69,E07000029,Copeland,2025,"""North West""",58613,380,0.65,15800,26.96,8335,14.22,9178,15.66,3439,5.87,7289,12.44,12307,21,2265,3.86,564.3
69,E07000029,Copeland,2030,"""North West""",58613,356,0.61,15800,26.96,8335,14.22,9178,15.66,3439,5.87,7289,12.44,12307,21,2265,3.86,564.3
69,E07000029,Copeland,2035,"""North West""",58613,339,0.58,15800,26.96,8335,14.22,9178,15.66,3439,5.87,7289,12.44,12307,21,2265,3.86,564.3
179,E07000029,Copeland,2040,"""North West""",58613,333,0.57,15800,26.96,8335,14.22,9178,15.66,3439,5.87,7289,12.44,12307,21,2265,3.86,564.3
70,E07000030,Eden,2020,"""North West""",43976,296,0.67,9968,22.67,5914,13.45,7253,16.49,1637,3.72,5286,12.02,12059,27.42,1859,4.23,607.5
70,E07000030,Eden,2025,"""North West""",43976,292,0.66,9968,22.67,5914,13.45,7253,16.49,1637,3.72,5286,12.02,12059,27.42,1859,4.23,607.5
70,E07000030,Eden,2030,"""North West""",43976,280,0.64,9968,22.67,5914,13.45,7253,16.49,1637,3.72,5286,12.02,12059,27.42,1859,4.23,607.5
70,E07000030,Eden,2035,"""North West""",43976,274,0.62,9968,22.67,5914,13.45,7253,16.49,1637,3.72,5286,12.02,12059,27.42,1859,4.23,607.5
225,E07000030,Eden,2040,"""North West""",43976,266,0.6,9968,22.67,5914,13.45,7253,16.49,1637,3.72,5286,12.02,12059,27.42,1859,4.23,607.5
148,E07000119,Fylde,2020,"""North West""",63757,442,0.69,13497,21.17,7638,11.98,10560,16.56,2678,4.2,7826,12.27,18982,29.77,2576,4.04,577.7
148,E07000119,Fylde,2025,"""North West""",63757,452,0.71,13497,21.17,7638,11.98,10560,16.56,2678,4.2,7826,12.27,18982,29.77,2576,4.04,577.7
148,E07000119,Fylde,2030,"""North West""",63757,446,0.7,13497,21.17,7638,11.98,10560,16.56,2678,4.2,7826,12.27,18982,29.77,2576,4.04,577.7
148,E07000119,Fylde,2035,"""North West""",63757,442,0.69,13497,21.17,7638,11.98,10560,16.56,2678,4.2,7826,12.27,18982,29.77,2576,4.04,577.7
148,E07000119,Fylde,2040,"""North West""",63757,445,0.7,13497,21.17,7638,11.98,10560,16.56,2678,4.2,7826,12.27,18982,29.77,2576,4.04,577.7
6,E06000006,Halton,2020,"""North West""",100819,748,0.74,27126,26.91,16975,16.84,18702,18.55,3839,3.81,12618,12.52,17792,17.65,3767,3.74,574.2
6,E06000006,Halton,2025,"""North West""",100819,746,0.74,27126,26.91,16975,16.84,18702,18.55,3839,3.81,12618,12.52,17792,17.65,3767,3.74,574.2
6,E06000006,Halton,2030,"""North West""",100819,746,0.74,27126,26.91,16975,16.84,18702,18.55,3839,3.81,12618,12.52,17792,17.65,3767,3.74,574.2
6,E06000006,Halton,2035,"""North West""",100819,754,0.75,27126,26.91,16975,16.84,18702,18.55,3839,3.81,12618,12.52,17792,17.65,3767,3.74,574.2
6,E06000006,Halton,2040,"""North West""",100819,750,0.74,27126,26.91,16975,16.84,18702,18.55,3839,3.81,12618,12.52,17792,17.65,3767,3.74,574.2
149,E07000120,Hyndburn,2020,"""North West""",64092,471,0.73,17942,27.99,8868,13.84,10400,16.23,3547,5.53,8043,12.55,12132,18.93,3160,4.93,450.5
149,E07000120,Hyndburn,2025,"""North West""",64092,471,0.73,17942,27.99,8868,13.84,10400,16.23,3547,5.53,8043,12.55,12132,18.93,3160,4.93,450.5
149,E07000120,Hyndburn,2030,"""North West""",64092,465,0.73,17942,27.99,8868,13.84,10400,16.23,3547,5.53,8043,12.55,12132,18.93,3160,4.93,450.5
149,E07000120,Hyndburn,2035,"""North West""",64092,461,0.72,17942,27.99,8868,13.84,10400,16.23,3547,5.53,8043,12.55,12132,18.93,3160,4.93,450.5
149,E07000120,Hyndburn,2040,"""North West""",64092,463,0.72,17942,27.99,8868,13.84,10400,16.23,3547,5.53,8043,12.55,12132,18.93,3160,4.93,450.5
268,E08000011,Knowsley,2020,"""North West""",117225,856,0.73,40647,34.67,17774,15.16,18907,16.13,4037,3.44,13788,11.76,18120,15.46,3952,3.37,524.5
268,E08000011,Knowsley,2025,"""North West""",117225,847,0.72,40647,34.67,17774,15.16,18907,16.13,4037,3.44,13788,11.76,18120,15.46,3952,3.37,524.5
